"year","group","match","team","score","TPP","possession","target_shots","BACK","SMPC_TPC","fouls","side","side_attack","LB","CB","RB","LM","CM","RM","LF","CF","RF","LA","CA","RA","formation","Opponent","result","cluster"
2010,"16",56,"Portugal",0,70,39,0.333333333,0.034482759,0.885714286,18,48,48,6,16,7,16,19,11,7,17,1,28,43,29,"4123","Spain","l",4
2010,"8",57,"Netherlands",2,73,51,0.454545455,0.052631579,0.827361564,19,56,56,2,12,5,15,19,22,2,13,10,14,29,57,"4231","Brazil","w",1
2010,"8",57,"Brazil",1,75,49,0.266666667,0.041666667,0.867692308,20,48,48,3,14,7,10,22,16,4,16,8,39,15,46,"41212","Netherlands","l",4
2010,"8",58,"Uruguay",1,52,48,0.428571429,0.047619048,0.799212598,23,56,56,4,13,4,15,16,20,5,15,8,66,17,17,"442","Ghana","d",4
2010,"8",58,"Ghana",1,57,52,0.307692308,0.052631579,0.862857143,23,56,56,4,11,4,12,22,19,5,11,12,8,46,46,"4141","Uruguay","d",3
2010,"8",59,"Argentina",0,72,53,0.35,0.058823529,0.943946188,20,55,55,3,10,4,11,23,19,7,12,11,7,43,50,"41212","Germany","l",1
2010,"8",59,"Germany",4,63,47,0.333333333,0.045454545,0.886227545,14,62,62,5,10,7,9,17,19,11,11,11,50,14,36,"4231","Argentina","w",3
2010,"8",60,"Paraguay",0,55,40,0.444444444,0.03030303,0.878947368,25,50,50,7,17,9,12,15,16,2,18,4,60,20,20,"4132","Spain","l",4
2010,"8",60,"Spain",1,79,60,0.375,0.052631579,0.885338346,12,60,60,4,9,6,16,21,18,7,10,9,19,50,31,"4132","Paraguay","w",2
2010,"4",61,"Uruguay",2,58,47,0.5,0.055555556,0.892638037,15,63,63,3,9,6,16,16,24,11,12,3,57,29,14,"442","Netherlands","l",3
2010,"4",61,"Netherlands",3,64,53,0.636363636,0.04,0.88974359,16,55,55,6,12,7,18,19,12,4,14,8,25,50,25,"4231","Uruguay","w",1
2010,"4",62,"Germany",0,75,49,0.4,0.04,0.897959184,9,57,57,3,12,10,15,18,20,4,13,5,57,14,29,"4231","Spain","l",1
2010,"4",62,"Spain",1,81,51,0.384615385,0.071428571,0.884745763,7,59,59,2,8,4,12,23,20,9,10,12,24,38,38,"4231","Germany","w",2
2010,"3",63,"Uruguay",2,62,47,0.4375,0.05,0.894389439,13,57,57,2,11,7,12,19,24,4,13,8,23,33,44,"442","Germany","l",3
2010,"3",63,"Germany",3,66,53,0.388888889,0.05,0.913486005,11,60,60,4,10,6,15,19,15,11,11,9,31,38,31,"4231","Uruguay","w",3
2010,"1",64,"Netherlands",0,62,43,0.384615385,0.03030303,0.792517007,28,50,50,5,17,11,9,15,17,3,18,5,36,9,55,"4231","Spain","l",4
2010,"1",64,"Spain",1,76,57,0.315789474,0.058823529,0.887453875,19,57,57,5,8,4,15,26,20,5,9,8,20,47,33,"4231","Netherlands","w",1
